"Feature Code",DATE,FB_NO,FB_PG,NUMBER,COMMENT,WEIGHT,TYPE,JOINT_ID,EVENT_TYPE,DEGREE,DIRECTION,DEGREE_2,DIRECTION_2,COVER,LOCATION,NO_WIRES,VENTED,CROSSING_TYPE,OD,WALL_THICKNESS,ANGLE,ID,QUALITY,MATERIAL,OWNER,CLEARANCE,SERIAL_NUMBER,MODEL_NUMBER,NO_OF_MEMBERS,ELECTRIC,CONDITION,HEIGHT,ANGLE,PHOTO_NO,COATING,HEAT,PLACEMENT,MATERIAL,INVERT,SACK_WEIGHT,
AERIAL_MARKER,MM/DD/YYYY,100,1000,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
ANODE,MM/DD/YYYY,101,1001,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
ANOMALY,MM/DD/YYYY,102,1002,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
BEND,MM/DD/YYYY,103,1003,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
BORE,MM/DD/YYYY,104,1004,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
CAD_WELD,MM/DD/YYYY,105,1005,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
CASING,MM/DD/YYYY,106,1006,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
CHECK_SHOT,MM/DD/YYYY,107,1007,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
CONNECTIONS,MM/DD/YYYY,108,1008,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
CONTROL,MM/DD/YYYY,109,1009,TEXT,TEXT,600LBS,"DROP DOWN MENU",11,Sample,15,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
